Overall_rank,Semester_Rank,Regn. No.,CS 221,EE 206,EE 207,EE 208,EE 209,EE 210,EE 213,EE 214,EE 215,GP,SGPA,CGPA
1,2,2013007,9,8,10,10,7,10,10,10,10,257,9.18,9.62
2,7,2013022,8,7,9,10,8,9,10,10,10,247,8.82,9.46
3,8,2013115,6,8,8,10,10,9,9,10,10,247,8.82,9.38
4,4,2013167,8,8,10,10,8,8,10,10,10,252,9,9.22
5,16,2013005,8,6,9,9,8,8,10,10,10,236,8.43,9.19
6,38,2013027,8,5,8,7,8,8,10,9,10,218,7.79,9.18
7,9,2013064,8,7,10,9,8,9,9,10,10,245,8.75,9.17
8,6,2013095,8,8,9,10,10,8,8,9,10,250,8.93,9.15
9,11,2013057,9,7,10,9,7,9,9,10,10,244,8.71,9.14
10,5,2013135,7,8,10,9,10,8,9,10,10,251,8.96,9.13
11,23,2013138,5,7,8,9,10,7,10,10,10,232,8.29,9.13
12,1,2013089,7,10,10,10,10,10,8,10,10,267,9.54,9.12
13,3,2013087,8,7,9,10,10,9,9,10,10,253,9.04,9.12
14,17,2013130,7,7,9,9,10,7,9,8,10,236,8.43,9.12
15,19,2013078,7,7,9,9,8,8,10,10,9,235,8.39,9.12
16,14,2013030,9,6,9,9,9,8,8,9,10,237,8.46,9.11
17,10,2013142,7,8,8,9,10,8,10,10,10,245,8.75,9.07
18,15,2013045,10,5,9,9,7,9,10,10,10,237,8.46,9.07
19,18,2013009,7,7,10,9,7,9,9,9,10,236,8.43,9.07
20,37,2013020,8,6,9,9,7,7,8,8,9,219,7.82,9.03
21,24,2013037,8,7,9,9,7,8,9,9,10,232,8.29,9.02
22,34,2013137,7,7,8,8,8,7,10,10,9,224,8,9.02
23,70,2013077,7,5,7,9,5,8,9,9,10,205,7.32,8.97
24,20,2013116,6,6,8,9,10,9,9,10,10,235,8.39,8.96
25,35,2013054,8,5,8,10,7,7,10,10,9,223,7.96,8.96
26,31,2013011,9,7,8,7,8,8,9,9,10,227,8.11,8.92
27,39,2013036,8,5,7,10,6,8,10,9,10,218,7.79,8.9
28,21,2013101,7,6,9,9,8,10,9,9,10,235,8.39,8.89
29,26,2013017,6,7,8,9,9,8,10,9,9,230,8.21,8.88
30,64,2013029,8,6,8,8,6,6,9,8,10,208,7.43,8.88
31,47,2013160,7,5,8,8,7,7,10,10,10,214,7.64,8.87
32,49,2013083,7,5,7,9,8,8,8,8,10,213,7.61,8.87
33,25,2013154,7,7,9,9,8,6,10,10,10,231,8.25,8.86
34,36,2013118,5,6,8,10,8,7,9,10,10,222,7.93,8.85
35,28,2013040,8,6,9,9,6,8,10,10,10,228,8.14,8.82
36,32,2013061,8,7,8,8,7,8,9,10,10,226,8.07,8.82
37,48,2013136,8,6,7,8,7,8,8,10,9,214,7.64,8.82
38,89,2013044,8,5,7,8,5,6,9,10,9,198,7.07,8.8
39,50,2013164,5,5,8,9,7,8,9,10,10,213,7.61,8.79
40,43,2013056,8,6,8,8,6,8,9,10,9,216,7.71,8.77
41,71,2013166,4,6,7,8,7,7,10,10,10,205,7.32,8.77
42,76,2013074,7,6,8,8,5,7,9,8,10,204,7.29,8.77
43,22,2013105,8,7,9,8,9,7,9,10,10,235,8.39,8.76
44,29,2013086,6,6,8,8,10,8,9,10,10,228,8.14,8.75
45,45,2013152,8,5,8,9,6,7,10,9,10,215,7.68,8.75
46,72,2013081,7,6,6,9,6,8,8,9,9,205,7.32,8.75
47,40,2013126,6,6,8,8,8,7,9,10,10,217,7.75,8.71
48,56,2013109,7,5,7,9,8,7,8,9,10,212,7.57,8.68
49,12,2013014,10,6,9,10,8,8,10,10,9,244,8.71,8.67
50,51,2013035,8,7,7,7,7,7,9,10,9,213,7.61,8.67
51,65,2013053,6,6,8,8,7,8,8,9,8,208,7.43,8.67
52,73,2013060,6,5,8,9,6,7,9,9,9,205,7.32,8.65
53,66,2013139,5,6,8,8,7,6,10,9,10,207,7.39,8.64
54,79,2013153,5,5,7,7,8,8,9,9,10,203,7.25,8.64
55,84,2013039,7,6,7,8,5,7,10,8,9,200,7.14,8.63
56,33,2013098,6,6,7,9,10,8,9,10,9,226,8.07,8.61
57,46,2013058,6,7,8,9,6,7,9,10,9,215,7.68,8.61
58,59,2013147,7,6,6,8,7,7,10,10,10,210,7.5,8.61
59,117,2013010,8,0,7,8,6,7,9,9,9,183,6.54,8.59
60,27,2013140,8,5,8,9,9,8,10,9,10,230,8.21,8.58
61,61,2013090,7,5,7,9,8,6,8,10,9,209,7.46,8.57
62,85,2013047,6,5,8,8,5,8,8,9,10,200,7.14,8.57
63,99,2013149,7,5,7,7,6,7,8,8,10,194,6.93,8.57
64,13,2013133,5,7,9,10,9,8,10,10,10,239,8.54,8.56
65,52,2013100,5,6,8,8,8,8,8,10,9,213,7.61,8.55
66,124,2013034,6,4,7,6,5,6,9,8,9,176,6.29,8.54
67,30,2013143,6,6,9,10,8,8,8,9,10,228,8.14,8.52
68,41,2013158,6,5,7,9,10,7,8,9,10,217,7.75,8.51
69,103,2013082,7,5,7,7,6,6,8,10,9,193,6.89,8.51
70,115,2013006,6,4,7,7,5,7,9,9,9,185,6.61,8.49
71,42,2013008,8,5,9,8,8,7,8,9,9,217,7.75,8.48
72,80,2013003,8,5,8,7,6,7,9,9,9,203,7.25,8.48
73,94,2013113,4,4,7,8,9,5,9,9,10,195,6.96,8.48
74,125,2013013,4,4,7,9,4,6,7,9,9,176,6.29,8.48
75,44,2013099,5,6,8,9,8,7,9,10,9,216,7.71,8.47
76,87,2013085,5,5,8,8,7,6,9,9,9,199,7.11,8.47
77,95,2013019,8,5,7,8,5,7,9,7,9,195,6.96,8.47
78,105,2013076,5,4,8,8,5,7,8,9,10,190,6.79,8.47
79,62,2013093,7,5,8,8,8,6,9,9,9,209,7.46,8.46
80,74,2013144,6,6,7,7,8,7,9,8,10,205,7.32,8.46
81,100,2013042,6,4,7,9,7,6,8,8,9,194,6.93,8.46
82,60,2013062,7,6,8,8,7,7,9,9,8,210,7.5,8.45
83,77,2013096,6,6,8,8,6,6,8,10,10,204,7.29,8.44
84,86,2013121,7,4,7,7,8,7,8,10,9,200,7.14,8.43
85,88,2013068,9,6,7,8,5,6,8,8,9,199,7.11,8.43
86,90,2013041,6,4,8,9,5,8,9,7,10,198,7.07,8.42
87,53,2013066,8,6,8,9,6,7,8,8,10,213,7.61,8.41
88,67,2013072,8,6,8,8,7,5,8,9,9,207,7.39,8.41
89,106,2013145,5,5,7,8,6,7,8,8,9,190,6.79,8.37
90,119,2013059,4,5,7,7,5,7,9,8,9,181,6.46,8.37
91,81,2013110,6,6,7,7,7,7,8,10,9,201,7.18,8.35
92,54,2013067,6,5,8,9,7,7,9,10,10,213,7.61,8.34
93,101,2013065,7,5,7,7,6,7,8,9,9,194,6.93,8.34
94,104,2013015,7,4,7,9,5,6,8,8,10,191,6.82,8.33
95,57,2013021,6,4,8,9,6,9,9,10,10,211,7.54,8.31
96,120,2013163,5,4,6,7,7,6,7,9,10,181,6.46,8.28
97,58,2013134,7,6,7,8,8,6,10,8,10,211,7.54,8.25
98,63,2013108,6,6,8,7,8,7,8,10,9,209,7.46,8.23
99,82,2013046,8,5,7,8,5,9,8,8,9,201,7.18,8.21
100,131,2013080,5,5,6,7,5,5,8,8,9,172,6.14,8.21
101,139,2013102,4,0,6,8,4,6,9,9,9,156,5.57,8.21
102,91,2013055,5,4,8,9,5,7,9,10,10,198,7.07,8.2
103,93,2013104,7,5,6,7,7,7,8,9,10,196,7,8.2
104,114,2013048,7,4,7,8,4,7,8,9,9,186,6.64,8.2
105,107,2013038,6,5,7,8,5,6,9,9,9,190,6.79,8.19
106,108,2013043,7,4,7,7,6,7,8,8,9,188,6.71,8.18
107,109,2013052,7,5,7,7,5,7,8,9,8,188,6.71,8.16
108,126,2013165,5,4,6,7,6,5,8,9,10,176,6.29,8.14
109,69,2013124,7,7,8,8,5,7,8,9,9,206,7.36,8.07
110,78,2013070,7,6,6,8,7,7,8,10,9,204,7.29,8.07
111,116,2013151,5,4,7,8,7,6,5,9,10,185,6.61,8.07
112,92,2013069,7,5,8,7,6,6,8,10,9,197,7.04,8.04
113,123,2013132,4,4,6,7,7,5,9,9,9,177,6.32,8
114,118,2013084,4,4,7,8,6,6,8,9,9,182,6.5,7.96
115,55,2013122,6,6,8,7,9,7,9,9,9,213,7.61,7.93
116,75,2013157,6,4,7,8,8,7,9,10,10,205,7.32,7.93
117,127,2013001,6,5,6,7,6,6,5,8,8,174,6.21,7.91
118,96,2013141,4,5,7,8,7,7,9,9,9,195,6.96,7.9
119,102,2013075,7,5,7,8,5,7,8,9,9,194,6.93,7.89
120,135,2013028,5,4,5,8,4,6,8,8,9,167,5.96,7.89
121,138,2013049,5,0,6,7,6,6,8,8,9,159,5.68,7.89
122,128,2013088,5,4,5,7,6,6,8,8,10,173,6.18,7.87
123,97,2013156,6,5,7,8,6,7,8,8,10,195,6.96,7.85
124,132,2013162,6,0,6,8,7,6,8,8,10,172,6.14,7.81
125,129,2013120,6,0,6,8,7,7,7,9,9,173,6.18,7.8
126,110,2013051,6,5,6,8,6,6,9,8,9,188,6.71,7.79
127,111,2013150,4,5,7,7,7,7,6,9,10,187,6.68,7.78
128,83,2013155,4,6,7,8,7,7,8,10,10,201,7.18,7.71
129,98,2013127,8,5,7,7,7,5,8,9,9,195,6.96,7.66
130,144,2013024,4,0,5,7,4,5,8,8,8,139,4.96,7.63
131,140,2013063,4,0,6,8,5,6,9,8,8,156,5.57,7.62
132,121,2013004,6,4,7,7,5,6,8,10,8,180,6.43,7.59
133,68,2013146,5,5,8,9,7,6,9,10,10,207,7.39,7.51
134,112,2013128,6,4,6,7,6,7,9,9,10,187,6.68,7.51
135,134,2013106,8,0,6,8,5,6,8,9,9,170,6.07,7.51
136,137,2013033,4,4,5,7,6,5,8,7,9,163,5.82,7.46
137,113,1913002,4,6,8,7,6,7,8,8,7,187,6.68,7.45
138,136,2013094,7,0,6,7,5,6,9,10,9,167,5.96,7.18
139,130,2013131,0,4,7,8,6,7,8,9,9,173,6.18,7.16
140,133,2013129,4,4,6,7,6,6,9,8,8,172,6.14,7.16
141,141,2013123,4,4,5,6,4,4,8,8,9,150,5.36,7.14
142,143,2013112,4,0,5,6,5,5,8,10,8,143,5.11,6.77
143,122,2013107,5,5,5,7,8,5,8,8,9,180,6.43,6.67
144,142,2013125,4,0,5,7,5,5,8,8,9,145,5.18,6.56
145,146,2013002,5,0,5,5,4,5,8,6,8,130,4.64,6.46
146,145,1913134,0,4,0,6,6,6,9,9,10,138,4.93,5.53